STITCH_CID,CID
CID000014051,14051
CID000003291,3291
CID000003292,3292
CID000003305,3305
CID000003308,3308
CID000036462,36462
CID000003324,3324
CID005702160,5702160
CID000003331,3331
CID000003333,3333
CID000003339,3339
CID000003340,3340
CID000003342,3342
CID000003345,3345
CID000003348,3348
CID000057363,57363
CID000003354,3354
CID000003355,3355
CID000005790,5790
CID000003364,3364
CID000021319,21319
CID000003365,3365
CID000003366,3366
CID000657237,657237
CID000030751,30751
CID000225609,225609
CID000003372,3372
CID000003373,3373
CID000071415,71415
CID000082153,82153
CID000003380,3380
CID000006215,6215
CID000009642,9642
CID000009878,9878
CID000003385,3385
CID000003386,3386
CID000006446,6446
CID000003388,3388
CID000015209,15209
CID000003393,3393
CID000003394,3394
CID000003397,3397
CID000444036,444036
CID000446155,446155
CID005324345,5324345
CID000006037,6037
CID000003406,3406
CID000003410,3410
CID003034756,3034756
CID003083544,3083544
CID000003414,3414
CID000073491,73491
CID000055891,55891
CID006708482,6708482
CID005352062,5352062
CID000003440,3440
CID003000226,3000226
CID003032525,3032525
CID000003446,3446
CID000009651,9651
CID000003454,3454
CID000060749,60749
CID006434870,6434870
CID000003463,3463
CID000003467,3467
CID000003475,3475
CID000003476,3476
CID000003478,3478
CID000003488,3488
CID000003494,3494
CID000003510,3510
CID005284566,5284566
CID000441140,441140
CID000003516,3516
CID000003517,3517
CID000003519,3519
CID000003520,3520
CID000018342,18342
CID000443943,443943
CID000003559,3559
CID000003598,3598
CID000003623,3623
CID005282593,5282593
CID000009003,9003
CID000003637,3637
CID000003639,3639
CID000005754,5754
CID000026133,26133
CID000003647,3647
CID005284570,5284570
CID000003652,3652
CID000003657,3657
CID000003658,3658
CID000003661,3661
CID000154417,154417
CID000174174,174174
CID000003672,3672
CID000003675,3675
CID000003676,3676
CID000042593,42593
CID000042890,42890
CID000005905,5905
CID000003690,3690
CID000003696,3696
CID000003702,3702
CID005362440,5362440
CID000003715,3715
CID000003724,3724
CID000003730,3730
CID000065492,65492
CID000003736,3736
CID000003737,3737
CID000003738,3738
CID000003739,3739
CID000003741,3741
CID000003742,3742
CID000003743,3743
CID000003746,3746
CID000043232,43232
CID000003749,3749
CID000060837,60837
CID000003759,3759
CID000003763,3763
CID000003767,3767
CID005282175,5282175
CID000003779,3779
CID000006883,6883
CID000003783,3783
CID000003784,3784
CID000055283,55283
CID000003821,3821
CID000456201,456201
CID000003825,3825
CID000003826,3826
CID000003827,3827
CID000003830,3830
CID000003848,3848
CID000003869,3869
CID000011333,11333
CID000060825,60825
CID000003878,3878
CID000003883,3883
CID009578005,9578005
CID005282380,5282380
CID005311221,5311221
CID000003899,3899
CID000003902,3902
CID000657180,657180
CID000039468,39468
CID000054384,54384
CID000072286,72286
CID005359272,5359272
CID000064710,64710
CID000441401,441401
CID005362118,5362118
CID000028864,28864
CID000003939,3939
CID000003948,3948
CID000003950,3950
CID000003954,3954
CID000003957,3957
CID000003958,3958
CID000003961,3961
CID000053232,53232
CID000003964,3964
CID000003998,3998
CID000004004,4004
CID000004011,4011
CID000004030,4030
CID000004031,4031
CID000004032,4032
CID000004033,4033
CID000004034,4034
CID000004036,4036
CID000006279,6279
CID000247839,247839
CID000004044,4044
CID000040692,40692
CID000011683,11683
CID000004051,4051
CID000460612,460612
CID000004054,4054
CID000004057,4057
CID000004058,4058
CID000004060,4060
CID000004062,4062
CID000004064,4064
CID000004075,4075
CID000004086,4086
CID000004091,4091
CID000004095,4095
CID000004101,4101
CID000004107,4107
CID000126941,126941
CID000004114,4114
CID000004120,4120
CID049800046,49800046
CID000004121,4121
CID000038852,38852
CID000004139,4139
CID000008226,8226
CID000004158,4158
CID000154100,154100
CID000006741,6741
CID000006010,6010
CID000009681,9681
CID000004168,4168
CID000004170,4170
CID000004171,4171
CID000004173,4173
CID000004174,4174
CID000004178,4178
CID000004184,4184
CID000004189,4189
CID000004192,4192
CID000004195,4195
CID000055245,55245
CID000004197,4197
CID000004201,4201
CID000004205,4205
CID000004211,4211
CID000004212,4212
CID000004235,4235
CID000004236,4236
CID009690109,9690109
CID000055188,55188
CID000441336,441336
CID005281040,5281040
CID000004253,4253
CID005288826,5288826
CID000101526,101526
CID000446596,446596
CID005281078,5281078
CID000446541,446541
CID000004274,4274
CID000004409,4409
CID000039147,39147
CID005311304,5311304
CID000004421,4421
CID005284594,5284594
CID005284596,5284596
CID005360515,5360515
CID000009677,9677
CID000004436,4436
CID000004440,4440
CID000060026,60026
CID005311309,5311309
CID000004449,4449
CID000004450,4450
CID000064142,64142
CID000004454,4454
CID000008378,8378
CID000004456,4456
CID000004463,4463
CID000004473,4473
CID000004485,4485
CID000004493,4493
CID000004497,4497
CID000004499,4499
CID000004506,4506
CID006604200,6604200
CID000004510,4510
CID003033637,3033637
CID000006230,6230
CID000004539,4539
CID000013109,13109
CID000004543,4543
CID000065981,65981
CID006433272,6433272
CID000004583,4583
CID000149096,149096
CID000004585,4585
CID000004594,4594
CID009579578,9579578
CID000004595,4595
CID003034010,3034010
CID000004601,4601
CID000065028,65028
CID000006196,6196
CID000004609,4609
CID000004614,4614
CID000004616,4616
CID005353853,5353853
CID000004631,4631
CID000004634,4634
CID005284603,5284603
CID005281034,5281034
CID005284604,5284604
CID000004649,4649
CID000441276,441276
CID005352019,5352019
CID000004673,4673
CID000027350,27350
CID000131204,131204
CID000004679,4679
CID000004680,4680
CID000165579,165579
CID000043815,43815
CID000004695,4695
CID000037464,37464
CID000004725,4725
CID000005852,5852
CID000006869,6869
CID000004735,4735
CID000441277,441277
CID000004737,4737
CID000439693,439693
CID000004740,4740
CID000047811,47811
CID000004746,4746
CID000004747,4747
CID000004748,4748
CID000004756,4756
CID000004763,4763
CID000004768,4768
CID000004771,4771
CID000004775,4775
CID000006041,6041
CID000026934,26934
CID000004810,4810
CID000005983,5983
CID005280483,5280483
CID000005909,5909
CID000004828,4828
CID000004829,4829
CID000043672,43672
CID000004845,4845
CID000010607,10607
CID049800003,49800003
CID000004870,4870
CID000119569,119569
CID000054687,54687
CID000004891,4891
CID000004893,4893
CID000005755,5755
CID000005834,5834
CID000004896,4896
CID000005865,5865
CID000004906,4906
CID000004908,4908
CID000004909,4909
CID000004911,4911
CID000004913,4913
CID000004914,4914
CID000004915,4915
CID000004917,4917
CID000005994,5994
CID006178111,6178111
CID000004927,4927
CID000004932,4932
CID000004934,4934
CID000004935,4935
CID000004943,4943
CID000004946,4946
CID000004976,4976
CID000708857,708857
CID000004991,4991
CID000004992,4992
CID000004993,4993
CID000004999,4999
CID000005002,5002
CID000054891,54891
CID000005029,5029
CID000007028,7028
CID000009294,9294
CID000005035,5035
CID005362129,5362129
CID003001055,3001055
CID005284616,5284616
CID005280954,5280954
CID000005770,5770
CID000037542,37542
CID000005070,5070
CID000005071,5071
CID000005073,5073
CID000392622,392622
CID000077990,77990
CID000005078,5078
CID000005090,5090
CID000005095,5095
CID005480431,5480431
CID009567573,9567573
CID000005152,5152
CID000018283,18283
CID000005161,5161
CID000005184,5184
CID002723876,2723876
CID000005193,5193
CID000026757,26757
CID000063009,63009
CID000005206,5206
CID000005210,5210
CID000005212,5212
CID000005214,5214
CID000005215,5215
CID000005238,5238
CID000005245,5245
CID000005248,5248
CID000005253,5253
CID000060464,60464
CID000005833,5833
CID000005291,5291
CID006419957,6419957
CID000029327,29327
CID000005311,5311
CID000005314,5314
CID000005318,5318
CID000005320,5320
CID000005329,5329
CID000005333,5333
CID001548886,1548886
CID000005358,5358
CID000005359,5359
CID000445643,445643
CID006435755,6435755
CID002733525,2733525
CID003032583,3032583
CID000005379,5379
CID000005381,5381
CID000005391,5391
CID000005394,5394
CID000452548,452548
CID000005401,5401
CID001549007,1549007
CID000005403,5403
CID000441383,441383
CID000013769,13769
CID000006013,6013
CID000009416,9416
CID000005995,5995
CID000005411,5411
CID000005419,5419
CID000005426,5426
CID000005430,5430
CID000005452,5452
CID000005453,5453
CID000941650,941650
CID000941651,941651
CID000060648,60648
CID000005468,5468
CID000021844,21844
CID000444008,444008
CID000005472,5472
CID000033624,33624
CID000005479,5479
CID000005483,5483
CID000060946,60946
CID000005487,5487
CID000036294,36294
CID000005503,5503
CID000005505,5505
CID000005508,5508
CID000060774,60774
CID000443878,443878
CID005284627,5284627
CID000060699,60699
CID003005572,3005572
CID000033741,33741
CID000005524,5524
CID005484727,5484727
CID000005526,5526
CID000005530,5530
CID000026069,26069
CID000005533,5533
CID000444795,444795
CID000449171,449171
CID005282379,5282379
CID000031307,31307
CID000005546,5546
CID000005556,5556
CID000005564,5564
CID000005565,5565
CID000005566,5566
CID000005572,5572
CID000005576,5576
CID000005577,5577
CID000005578,5578
CID000005582,5582
CID000005584,5584
CID000005591,5591
CID000005593,5593
CID000072165,72165
CID000005596,5596
CID003034812,3034812
CID000005625,5625
CID005311236,5311236
CID000010133,10133
CID000031401,31401
CID000060772,60772
CID000060846,60846
CID000014969,14969
CID000014970,14970
CID000005656,5656
CID000005665,5665
CID000060779,60779
CID000005717,5717
CID000024066,24066
CID000005719,5719
CID000060855,60855
CID000035370,35370
CID003007855,3007855
CID000060857,60857
CID000005732,5732
CID000005734,5734
CID000005735,5735
CID000969472,969472
CID000005746,5746
CID000005771,5771
CID000439302,439302
CID000005775,5775
CID000005877,5877
CID000005878,5878
CID000005939,5939
CID000005978,5978
CID006324671,6324671
CID000006018,6018
CID000006049,6049
CID000006058,6058
CID000006116,6116
CID000006238,6238
CID000006256,6256
CID000006432,6432
CID000006436,6436
CID000006451,6451
CID000006468,6468
CID000006476,6476
CID000006503,6503
CID000006726,6726
CID000007012,7012
CID000007029,7029
CID000007187,7187
CID000007638,7638
CID000007699,7699
CID000008197,8197
CID000008230,8230
CID000008612,8612
CID000008982,8982
CID000023568,23568
CID000009034,9034
CID002724354,2724354
CID000009433,9433
CID000009904,9904
CID000010100,10100
CID000010340,10340
CID000010413,10413
CID000010547,10547
CID000010631,10631
CID000010660,10660
CID000011125,11125
CID000011973,11973
CID005311507,5311507
CID000012460,12460
CID000012536,12536
CID005311066,5311066
CID000012555,12555
CID000012559,12559
CID000012597,12597
CID000012620,12620
CID000013314,13314
CID000013342,13342
CID000241902,241902
CID000014789,14789
CID000014888,14888
CID000014917,14917
CID000015232,15232
CID000015459,15459
CID000016124,16124
CID000016230,16230
CID000016362,16362
CID000016533,16533
CID000016850,16850
CID000016886,16886
CID000451668,451668
CID000017358,17358
CID000259331,259331
CID000019090,19090
CID000020585,20585
CID005311052,5311052
CID000021800,21800
CID000021945,21945
CID005284569,5284569
CID000022318,22318
CID000022502,22502
CID005284555,5284555
CID000023897,23897
CID000023925,23925
CID000023926,23926
CID000023951,23951
CID000023954,23954
CID000023957,23957
CID000023976,23976
CID000023978,23978
CID000023982,23982
CID000023993,23993
CID000023994,23994
CID000024087,24087
CID000024414,24414
CID000024424,24424
CID000024450,24450
CID000024642,24642
CID000072170,72170
CID016019977,16019977
CID000024706,24706
CID000064730,64730
CID000024841,24841
CID000025419,25419
CID000025959,25959
CID000027304,27304
CID000027400,27400
CID000027661,27661
CID000027991,27991
CID005311065,5311065
CID000168708,168708
CID000028332,28332
CID000028486,28486
CID000029089,29089
CID000071384,71384
CID000031072,31072
CID000031264,31264
CID000031378,31378
CID000031477,31477
CID000032169,32169
CID000638678,638678
CID000032603,32603
CID000443385,443385
CID005311051,5311051
CID009833444,9833444
CID000034312,34312
CID000036339,36339
CID000036523,36523
CID000036811,36811
CID000037392,37392
CID000037720,37720
CID000038904,38904
CID000039042,39042
CID000039507,39507
CID005311412,5311412
CID005311454,5311454
CID000039764,39764
CID000039860,39860
CID000040326,40326
CID000040632,40632
CID000040703,40703
CID000040973,40973
CID000040976,40976
CID006917715,6917715
CID005284513,5284513
CID000041684,41684
CID000041693,41693
CID000041744,41744
CID000041774,41774
CID000041781,41781
CID000042113,42113
CID000042395,42395
CID000050224,50224
CID005282381,5282381
CID000044563,44563
CID000044564,44564
CID000045469,45469
CID000047319,47319
CID000047320,47320
CID000062886,62886
CID006321416,6321416
CID000047471,47471
CID000047528,47528
CID000047641,47641
CID000047725,47725
CID000050294,50294
CID000053024,53024
CID000051263,51263
CID000441314,441314
CID000051634,51634
CID000052421,52421
CID006714002,6714002
CID000054158,54158
CID005311181,5311181
CID006435378,6435378
CID000054331,54331
CID000054373,54373
CID000383413,383413
CID000054454,54454
CID006335986,6335986
CID000084029,84029
CID000054786,54786
CID006918140,6918140
CID000444025,444025
CID000054840,54840
CID000054949,54949
CID000055331,55331
CID000055466,55466
CID000055480,55480
CID006917778,6917778
CID000056338,56338
CID000056959,56959
CID000057166,57166
CID000057469,57469
CID000059226,59226
CID000057697,57697
CID005284583,5284583
CID000059768,59768
CID000129211,129211
CID000060164,60164
CID000060172,60172
CID000441313,441313
CID000060184,60184
CID000107807,107807
CID000060198,60198
CID000060490,60490
CID000060496,60496
CID000060612,60612
CID005311068,5311068
CID000060613,60613
CID000466146,466146
CID000060668,60668
CID000441290,441290
CID000060706,60706
CID000441129,441129
CID000060714,60714
CID000060726,60726
CID000060751,60751
CID000060752,60752
CID000060754,60754
CID000060934,60934
CID000060795,60795
CID000060814,60814
CID000060830,60830
CID000060834,60834
CID000060843,60843
CID000060852,60852
CID000060853,60853
CID000060860,60860
CID000135326,135326
CID005281071,5281071
CID003033825,3033825
CID000060871,60871
CID000060877,60877
CID005281037,5281037
CID000060936,60936
CID000060953,60953
CID000061475,61475
CID000061799,61799
CID000062305,62305
CID000062358,62358
CID000062816,62816
CID000062819,62819
CID005311101,5311101
CID000062956,62956
CID000062959,62959
CID000062965,62965
CID005463984,5463984
CID000064147,64147
CID000064778,64778
CID000064929,64929
CID000464205,464205
CID000065014,65014
CID000065157,65157
CID000065281,65281
CID006714010,6714010
CID000065370,65370
CID000065628,65628
CID000065840,65840
CID000065856,65856
CID000065863,65863
CID000065866,65866
CID000065999,65999
CID000068613,68613
CID000068740,68740
CID000068844,68844
CID000069512,69512
CID000071158,71158
CID000175804,175804
CID000071301,71301
CID005281042,5281042
CID000071329,71329
CID000071348,71348
CID006918010,6918010
CID000071360,71360
CID006918172,6918172
CID000071406,71406
CID005282415,5282415
CID000071469,71469
CID000071616,71616
CID000072022,72022
CID000444030,444030
CID000072081,72081
CID006436173,6436173
CID000072466,72466
CID005360373,5360373
CID009571107,9571107
CID000073303,73303
CID003002190,3002190
CID000074989,74989
CID000077992,77992
CID000077993,77993
CID005281104,5281104
CID000077997,77997
CID000077998,77998
CID000078032,78032
CID000082146,82146
CID000082148,82148
CID000083030,83030
CID000104810,104810
CID000104798,104798
CID000084003,84003
CID000091488,91488
CID000387447,387447
CID003011155,3011155
CID000474409,474409
CID005460037,5460037
CID000104741,104741
CID000104758,104758
CID000441193,441193
CID000104799,104799
CID000104849,104849
CID000104865,104865
CID000105145,105145
CID000107694,107694
CID000107969,107969
CID000107994,107994
CID000110634,110634
CID000110635,110635
CID009881504,9881504
CID000115237,115237
CID000115355,115355
CID000119182,119182
CID000119212,119212
CID000119607,119607
CID000119828,119828
CID005481350,5481350
CID000121396,121396
CID000121749,121749
CID000121892,121892
CID003086674,3086674
CID003052775,3052775
CID005329098,5329098
CID005282226,5282226
CID000123606,123606
CID000123610,123610
CID000448812,448812
CID000123611,123611
CID000636380,636380
CID000123619,123619
CID000441335,441335
CID002826718,2826718
CID000123631,123631
CID000123634,123634
CID000123809,123809
CID000124087,124087
CID000125017,125017
CID005486971,5486971
CID005311027,5311027
CID005464097,5464097
CID000129228,129228
CID000446157,446157
CID009568613,9568613
CID000130881,130881
CID000131535,131535
CID005282451,5282451
CID000132971,132971
CID000132999,132999
