old_CID,STITCH_CID,CID,pub_chem_CID
CID100005070,CID000005070,5070,100005070
CID100005071,CID000005071,5071,100005071
CID100005073,CID000005073,5073,100005073
CID100005076,CID000392622,392622,100005076
CID100005077,CID000077990,77990,100005077
CID100005078,CID000005078,5078,100005078
CID100005090,CID000005090,5090,100005090
CID100005095,CID000005095,5095,100005095
CID100005106,CID005480431,5480431,100005106
CID100005106,CID009567573,9567573,100005106
CID100005152,CID000005152,5152,100005152
CID100005155,CID000018283,18283,100005155
CID100005161,CID000005161,5161,100005161
CID100005184,CID000005184,5184,100005184
CID100005184,CID002723876,2723876,100005184
CID100005193,CID000005193,5193,100005193
CID100005195,CID000026757,26757,100005195
CID100005203,CID000063009,63009,100005203
CID100005206,CID000005206,5206,100005206
CID100005210,CID000005210,5210,100005210
CID100005212,CID000005212,5212,100005212
CID100005214,CID000005214,5214,100005214
CID100005215,CID000005215,5215,100005215
CID100005238,CID000005238,5238,100005238
CID100005245,CID000005245,5245,100005245
CID100005248,CID000005248,5248,100005248
CID100005253,CID000005253,5253,100005253
CID100005257,CID000060464,60464,100005257
CID100005267,CID000005833,5833,100005267
CID100005291,CID000005291,5291,100005291
CID100005297,CID006419957,6419957,100005297
CID100005300,CID000029327,29327,100005300
CID100005311,CID000005311,5311,100005311
CID100005314,CID000005314,5314,100005314
CID100005318,CID000005318,5318,100005318
CID100005320,CID000005320,5320,100005320
CID100005329,CID000005329,5329,100005329
CID100005333,CID000005333,5333,100005333
CID100005352,CID001548886,1548886,100005352
CID100005358,CID000005358,5358,100005358
CID100005359,CID000005359,5359,100005359
CID100005372,CID000445643,445643,100005372
CID100005372,CID006435755,6435755,100005372
CID100005376,CID002733525,2733525,100005376
CID100005376,CID003032583,3032583,100005376
CID100005379,CID000005379,5379,100005379
CID100005381,CID000005381,5381,100005381
CID100005391,CID000005391,5391,100005391
CID100005394,CID000005394,5394,100005394
CID100005396,CID000452548,452548,100005396
CID100005401,CID000005401,5401,100005401
CID100005402,CID001549007,1549007,100005402
CID100005403,CID000005403,5403,100005403
CID100005404,CID000441383,441383,100005404
CID100005407,CID000013769,13769,100005407
CID100005408,CID000006013,6013,100005408
CID100005409,CID000009416,9416,100005409
CID100005410,CID000005995,5995,100005410
CID100005411,CID000005411,5411,100005411
CID100005419,CID000005419,5419,100005419
CID100005426,CID000005426,5426,100005426
CID100005430,CID000005430,5430,100005430
CID100005452,CID000005452,5452,100005452
CID100005453,CID000005453,5453,100005453
CID100005454,CID000941650,941650,100005454
CID100005454,CID000941651,941651,100005454
CID100005466,CID000060648,60648,100005466
CID100005468,CID000005468,5468,100005468
CID100005470,CID000021844,21844,100005470
CID100005470,CID000444008,444008,100005470
CID100005472,CID000005472,5472,100005472
CID100005478,CID000033624,33624,100005478
CID100005479,CID000005479,5479,100005479
CID100005483,CID000005483,5483,100005483
CID100005486,CID000060946,60946,100005486
CID100005487,CID000005487,5487,100005487
CID100005496,CID000036294,36294,100005496
CID100005503,CID000005503,5503,100005503
CID100005505,CID000005505,5505,100005505
CID100005508,CID000005508,5508,100005508
CID100005512,CID000060774,60774,100005512
CID100005512,CID000443878,443878,100005512
CID100005514,CID005284627,5284627,100005514
CID100005515,CID000060699,60699,100005515
CID100005516,CID003005572,3005572,100005516
CID100005523,CID000033741,33741,100005523
CID100005524,CID000005524,5524,100005524
CID100005525,CID005484727,5484727,100005525
CID100005526,CID000005526,5526,100005526
CID100005530,CID000005530,5530,100005530
CID100005530,CID000026069,26069,100005530
CID100005533,CID000005533,5533,100005533
CID100005538,CID000444795,444795,100005538
CID100005538,CID000449171,449171,100005538
CID100005538,CID005282379,5282379,100005538
CID100005544,CID000031307,31307,100005544
CID100005546,CID000005546,5546,100005546
CID100005556,CID000005556,5556,100005556
CID100005564,CID000005564,5564,100005564
CID100005565,CID000005565,5565,100005565
CID100005566,CID000005566,5566,100005566
CID100005572,CID000005572,5572,100005572
CID100005576,CID000005576,5576,100005576
CID100005577,CID000005577,5577,100005577
CID100005578,CID000005578,5578,100005578
CID100005582,CID000005582,5582,100005582
CID100005584,CID000005584,5584,100005584
CID100005591,CID000005591,5591,100005591
CID100005593,CID000005593,5593,100005593
CID100005595,CID000072165,72165,100005595
CID100005596,CID000005596,5596,100005596
CID100005596,CID003034812,3034812,100005596
CID100005625,CID000005625,5625,100005625
CID100005636,CID005311236,5311236,100005636
CID100005645,CID000010133,10133,100005645
CID100005645,CID000031401,31401,100005645
CID100005647,CID000060772,60772,100005647
CID100005650,CID000060846,60846,100005650
CID100005651,CID000014969,14969,100005651
CID100005651,CID000014970,14970,100005651
CID100005656,CID000005656,5656,100005656
CID100005665,CID000005665,5665,100005665
CID100005672,CID000060779,60779,100005672
CID100005717,CID000005717,5717,100005717
CID100005718,CID000024066,24066,100005718
CID100005719,CID000005719,5719,100005719
CID100005721,CID000060855,60855,100005721
CID100005726,CID000035370,35370,100005726
CID100005727,CID003007855,3007855,100005727
CID100005731,CID000060857,60857,100005731
CID100005732,CID000005732,5732,100005732
CID100005734,CID000005734,5734,100005734
CID100005735,CID000005735,5735,100005735
CID100005735,CID000969472,969472,100005735
CID100005746,CID000005746,5746,100005746
CID100005771,CID000005771,5771,100005771
CID100005771,CID000439302,439302,100005771
CID100005775,CID000005775,5775,100005775
CID100005877,CID000005877,5877,100005877
CID100005878,CID000005878,5878,100005878
CID100005939,CID000005939,5939,100005939
CID100005978,CID000005978,5978,100005978
CID100005978,CID006324671,6324671,100005978
CID100006018,CID000006018,6018,100006018
CID100006049,CID000006049,6049,100006049
CID100006058,CID000006058,6058,100006058
CID100006116,CID000006116,6116,100006116
CID100006238,CID000006238,6238,100006238
CID100006256,CID000006256,6256,100006256
CID100006432,CID000006432,6432,100006432
CID100006436,CID000006436,6436,100006436
CID100006451,CID000006451,6451,100006451
CID100006468,CID000006468,6468,100006468
CID100006476,CID000006476,6476,100006476
CID100006503,CID000006503,6503,100006503
CID100006726,CID000006726,6726,100006726
CID100007012,CID000007012,7012,100007012
CID100007029,CID000007029,7029,100007029
CID100007187,CID000007187,7187,100007187
CID100007638,CID000007638,7638,100007638
CID100007699,CID000007699,7699,100007699
CID100008197,CID000008197,8197,100008197
CID100008230,CID000008230,8230,100008230
CID100008612,CID000008612,8612,100008612
CID100008982,CID000008982,8982,100008982
CID100008982,CID000023568,23568,100008982
CID100009034,CID000009034,9034,100009034
CID100009354,CID002724354,2724354,100009354
CID100009433,CID000009433,9433,100009433
CID100009904,CID000009904,9904,100009904
CID100010100,CID000010100,10100,100010100
CID100010340,CID000010340,10340,100010340
CID100010413,CID000010413,10413,100010413
CID100010547,CID000010547,10547,100010547
CID100010631,CID000010631,10631,100010631
CID100010660,CID000010660,10660,100010660
CID100011125,CID000011125,11125,100011125
CID100011973,CID000011973,11973,100011973
CID100012453,CID005311507,5311507,100012453
CID100012460,CID000012460,12460,100012460
CID100012536,CID000012536,12536,100012536
CID100012536,CID005311066,5311066,100012536
CID100012555,CID000012555,12555,100012555
CID100012559,CID000012559,12559,100012559
CID100012597,CID000012597,12597,100012597
CID100012620,CID000012620,12620,100012620
CID100013314,CID000013314,13314,100013314
CID100013342,CID000013342,13342,100013342
CID100013342,CID000241902,241902,100013342
CID100014789,CID000014789,14789,100014789
CID100014888,CID000014888,14888,100014888
CID100014917,CID000014917,14917,100014917
CID100015232,CID000015232,15232,100015232
CID100015459,CID000015459,15459,100015459
CID100016124,CID000016124,16124,100016124
CID100016230,CID000016230,16230,100016230
CID100016362,CID000016362,16362,100016362
CID100016533,CID000016533,16533,100016533
CID100016850,CID000016850,16850,100016850
CID100016886,CID000016886,16886,100016886
CID100016886,CID000451668,451668,100016886
CID100017358,CID000017358,17358,100017358
CID100018140,CID000259331,259331,100018140
CID100019090,CID000019090,19090,100019090
CID100020585,CID000020585,20585,100020585
CID100020969,CID005311052,5311052,100020969
CID100021800,CID000021800,21800,100021800
CID100021945,CID000021945,21945,100021945
CID100022258,CID005284569,5284569,100022258
CID100022318,CID000022318,22318,100022318
CID100022502,CID000022502,22502,100022502
CID100023703,CID005284555,5284555,100023703
CID100023897,CID000023897,23897,100023897
CID100023925,CID000023925,23925,100023925
CID100023926,CID000023926,23926,100023926
CID100023951,CID000023951,23951,100023951
CID100023954,CID000023954,23954,100023954
CID100023957,CID000023957,23957,100023957
CID100023976,CID000023976,23976,100023976
CID100023978,CID000023978,23978,100023978
CID100023982,CID000023982,23982,100023982
CID100023993,CID000023993,23993,100023993
CID100023994,CID000023994,23994,100023994
CID100024087,CID000024087,24087,100024087
CID100024414,CID000024414,24414,100024414
CID100024424,CID000024424,24424,100024424
CID100024450,CID000024450,24450,100024450
CID100024642,CID000024642,24642,100024642
CID100024642,CID000072170,72170,100024642
CID100024642,CID016019977,16019977,100024642
CID100024706,CID000024706,24706,100024706
CID100024748,CID000064730,64730,100024748
CID100024841,CID000024841,24841,100024841
CID100025419,CID000025419,25419,100025419
CID100025959,CID000025959,25959,100025959
CID100027304,CID000027304,27304,100027304
CID100027400,CID000027400,27400,100027400
CID100027661,CID000027661,27661,100027661
CID100027991,CID000027991,27991,100027991
CID100027991,CID005311065,5311065,100027991
CID100027993,CID000168708,168708,100027993
CID100028332,CID000028332,28332,100028332
CID100028486,CID000028486,28486,100028486
CID100029089,CID000029089,29089,100029089
CID100030623,CID000071384,71384,100030623
CID100031072,CID000031072,31072,100031072
CID100031264,CID000031264,31264,100031264
CID100031378,CID000031378,31378,100031378
CID100031477,CID000031477,31477,100031477
CID100032169,CID000032169,32169,100032169
CID100032281,CID000638678,638678,100032281
CID100032603,CID000032603,32603,100032603
CID100032603,CID000443385,443385,100032603
CID100032797,CID005311051,5311051,100032797
CID100032800,CID009833444,9833444,100032800
CID100034312,CID000034312,34312,100034312
CID100036339,CID000036339,36339,100036339
CID100036523,CID000036523,36523,100036523
CID100036811,CID000036811,36811,100036811
CID100037392,CID000037392,37392,100037392
CID100037720,CID000037720,37720,100037720
CID100038904,CID000038904,38904,100038904
CID100039042,CID000039042,39042,100039042
CID100039507,CID000039507,39507,100039507
CID100039507,CID005311412,5311412,100039507
CID100039524,CID005311454,5311454,100039524
CID100039764,CID000039764,39764,100039764
CID100039860,CID000039860,39860,100039860
CID100040159,CID000040326,40326,100040159
CID100040632,CID000040632,40632,100040632
CID100040703,CID000040703,40703,100040703
CID100040973,CID000040973,40973,100040973
CID100040976,CID000040976,40976,100040976
CID100040976,CID006917715,6917715,100040976
CID100041317,CID005284513,5284513,100041317
CID100041684,CID000041684,41684,100041684
CID100041693,CID000041693,41693,100041693
CID100041744,CID000041744,41744,100041744
CID100041774,CID000041774,41774,100041774
CID100041781,CID000041781,41781,100041781
CID100042113,CID000042113,42113,100042113
CID100042395,CID000042395,42395,100042395
CID100042615,CID000050224,50224,100042615
CID100042955,CID005282381,5282381,100042955
CID100044563,CID000044563,44563,100044563
CID100044564,CID000044564,44564,100044564
CID100045469,CID000045469,45469,100045469
CID100047319,CID000047319,47319,100047319
CID100047320,CID000047320,47320,100047320
CID100047320,CID000062886,62886,100047320
CID100047419,CID006321416,6321416,100047419
CID100047471,CID000047471,47471,100047471
CID100047528,CID000047528,47528,100047528
CID100047640,CID000047641,47641,100047640
CID100047725,CID000047725,47725,100047725
CID100050294,CID000050294,50294,100050294
CID100050614,CID000053024,53024,100050614
CID100051263,CID000051263,51263,100051263
CID100051577,CID000441314,441314,100051577
CID100051634,CID000051634,51634,100051634
CID100052421,CID000052421,52421,100052421
CID100052421,CID006714002,6714002,100052421
CID100054158,CID000054158,54158,100054158
CID100054313,CID005311181,5311181,100054313
CID100054313,CID006435378,6435378,100054313
CID100054331,CID000054331,54331,100054331
CID100054373,CID000054373,54373,100054373
CID100054373,CID000383413,383413,100054373
CID100054454,CID000054454,54454,100054454
CID100054547,CID006335986,6335986,100054547
CID100054688,CID000084029,84029,100054688
CID100054786,CID000054786,54786,100054786
CID100054786,CID006918140,6918140,100054786
CID100054808,CID000444025,444025,100054808
CID100054840,CID000054840,54840,100054840
CID100054949,CID000054949,54949,100054949
CID100055331,CID000055331,55331,100055331
CID100055466,CID000055466,55466,100055466
CID100055480,CID000055480,55480,100055480
CID100055480,CID006917778,6917778,100055480
CID100056338,CID000056338,56338,100056338
CID100056959,CID000056959,56959,100056959
CID100057166,CID000057166,57166,100057166
CID100057469,CID000057469,57469,100057469
CID100057537,CID000059226,59226,100057537
CID100057697,CID000057697,57697,100057697
CID100059708,CID005284583,5284583,100059708
CID100059768,CID000059768,59768,100059768
CID100060146,CID000129211,129211,100060146
CID100060164,CID000060164,60164,100060164
CID100060172,CID000060172,60172,100060172
CID100060183,CID000441313,441313,100060183
CID100060184,CID000060184,60184,100060184
CID100060184,CID000107807,107807,100060184
CID100060198,CID000060198,60198,100060198
CID100060490,CID000060490,60490,100060490
CID100060496,CID000060496,60496,100060496
CID100060612,CID000060612,60612,100060612
CID100060612,CID005311068,5311068,100060612
CID100060613,CID000060613,60613,100060613
CID100060613,CID000466146,466146,100060613
CID100060668,CID000060668,60668,100060668
CID100060695,CID000441290,441290,100060695
CID100060706,CID000060706,60706,100060706
CID100060706,CID000441129,441129,100060706
CID100060714,CID000060714,60714,100060714
CID100060726,CID000060726,60726,100060726
CID100060751,CID000060751,60751,100060751
CID100060752,CID000060752,60752,100060752
CID100060754,CID000060754,60754,100060754
CID100060787,CID000060934,60934,100060787
CID100060795,CID000060795,60795,100060795
CID100060814,CID000060814,60814,100060814
CID100060830,CID000060830,60830,100060830
CID100060834,CID000060834,60834,100060834
CID100060843,CID000060843,60843,100060843
CID100060852,CID000060852,60852,100060852
CID100060853,CID000060853,60853,100060853
CID100060860,CID000060860,60860,100060860
CID100060860,CID000135326,135326,100060860
CID100060864,CID005281071,5281071,100060864
CID100060867,CID003033825,3033825,100060867
CID100060871,CID000060871,60871,100060871
CID100060877,CID000060877,60877,100060877
CID100060878,CID005281037,5281037,100060878
CID100060936,CID000060936,60936,100060936
CID100060953,CID000060953,60953,100060953
CID100061475,CID000061475,61475,100061475
CID100061799,CID000061799,61799,100061799
CID100062305,CID000062305,62305,100062305
CID100062358,CID000062358,62358,100062358
CID100062816,CID000062816,62816,100062816
CID100062819,CID000062819,62819,100062819
CID100062924,CID005311101,5311101,100062924
CID100062956,CID000062956,62956,100062956
CID100062959,CID000062959,62959,100062959
CID100062965,CID000062965,62965,100062965
CID100063001,CID005463984,5463984,100063001
CID100064147,CID000064147,64147,100064147
CID100064778,CID000064778,64778,100064778
CID100064929,CID000064929,64929,100064929
CID100064987,CID000464205,464205,100064987
CID100065014,CID000065014,65014,100065014
CID100065157,CID000065157,65157,100065157
CID100065281,CID000065281,65281,100065281
CID100065281,CID006714010,6714010,100065281
CID100065370,CID000065370,65370,100065370
CID100065628,CID000065628,65628,100065628
CID100065840,CID000065840,65840,100065840
CID100065856,CID000065856,65856,100065856
CID100065863,CID000065863,65863,100065863
CID100065866,CID000065866,65866,100065866
CID100065999,CID000065999,65999,100065999
CID100068613,CID000068613,68613,100068613
CID100068740,CID000068740,68740,100068740
CID100068844,CID000068844,68844,100068844
CID100069512,CID000069512,69512,100069512
CID100071158,CID000071158,71158,100071158
CID100071273,CID000175804,175804,100071273
CID100071301,CID000071301,71301,100071301
CID100071316,CID005281042,5281042,100071316
CID100071329,CID000071329,71329,100071329
CID100071348,CID000071348,71348,100071348
CID100071348,CID006918010,6918010,100071348
CID100071360,CID000071360,71360,100071360
CID100071362,CID006918172,6918172,100071362
CID100071406,CID000071406,71406,100071406
CID100071436,CID005282415,5282415,100071436
CID100071469,CID000071469,71469,100071469
CID100071616,CID000071616,71616,100071616
CID100072022,CID000072022,72022,100072022
CID100072054,CID000444030,444030,100072054
CID100072081,CID000072081,72081,100072081
CID100072111,CID006436173,6436173,100072111
CID100072466,CID000072466,72466,100072466
CID100072466,CID005360373,5360373,100072466
CID100072938,CID009571107,9571107,100072938
CID100073303,CID000073303,73303,100073303
CID100073658,CID003002190,3002190,100073658
CID100074989,CID000074989,74989,100074989
CID100077992,CID000077992,77992,100077992
CID100077993,CID000077993,77993,100077993
CID100077996,CID005281104,5281104,100077996
CID100077997,CID000077997,77997,100077997
CID100077998,CID000077998,77998,100077998
CID100078032,CID000078032,78032,100078032
CID100082146,CID000082146,82146,100082146
CID100082148,CID000082148,82148,100082148
CID100083030,CID000083030,83030,100083030
CID100083513,CID000104810,104810,100083513
CID100083606,CID000104798,104798,100083606
CID100084003,CID000084003,84003,100084003
CID100091488,CID000091488,91488,100091488
CID100093860,CID000387447,387447,100093860
CID100096312,CID003011155,3011155,100096312
CID100102258,CID000474409,474409,100102258
CID100102399,CID005460037,5460037,100102399
CID100104741,CID000104741,104741,100104741
CID100104758,CID000104758,104758,100104758
CID100104778,CID000441193,441193,100104778
CID100104799,CID000104799,104799,100104799
CID100104849,CID000104849,104849,100104849
CID100104865,CID000104865,104865,100104865
CID100105145,CID000105145,105145,100105145
CID100107694,CID000107694,107694,100107694
CID100107969,CID000107969,107969,100107969
CID100107994,CID000107994,107994,100107994
CID100110634,CID000110634,110634,100110634
CID100110635,CID000110635,110635,100110635
CID100114709,CID009881504,9881504,100114709
CID100115237,CID000115237,115237,100115237
CID100115355,CID000115355,115355,100115355
CID100119182,CID000119182,119182,100119182
CID100119212,CID000119212,119212,100119212
CID100119607,CID000119607,119607,100119607
CID100119828,CID000119828,119828,100119828
CID100119830,CID005481350,5481350,100119830
CID100121396,CID000121396,121396,100121396
CID100121749,CID000121749,121749,100121749
CID100121892,CID000121892,121892,100121892
CID100122197,CID003086674,3086674,100122197
CID100122316,CID003052775,3052775,100122316
CID100123015,CID005329098,5329098,100123015
CID100123597,CID005282226,5282226,100123597
CID100123606,CID000123606,123606,100123606
CID100123610,CID000123610,123610,100123610
CID100123610,CID000448812,448812,100123610
CID100123611,CID000123611,123611,100123611
CID100123611,CID000636380,636380,100123611
CID100123619,CID000123619,123619,100123619
CID100123620,CID000441335,441335,100123620
CID100123623,CID002826718,2826718,100123623
CID100123631,CID000123631,123631,100123631
CID100123634,CID000123634,123634,100123634
CID100123809,CID000123809,123809,100123809
CID100124087,CID000124087,124087,100124087
CID100125017,CID000125017,125017,100125017
CID100125889,CID005486971,5486971,100125889
CID100127909,CID005311027,5311027,100127909
CID100128549,CID005464097,5464097,100128549
CID100129228,CID000129228,129228,100129228
CID100129806,CID000446157,446157,100129806
CID100130564,CID009568613,9568613,100130564
CID100130881,CID000130881,130881,100130881
CID100131535,CID000131535,131535,100131535
CID100132804,CID005282451,5282451,100132804
CID100132971,CID000132971,132971,100132971
CID100132999,CID000132999,132999,100132999
CID100134018,CID000134018,134018,100134018
CID100134019,CID000134019,134019,100134019
CID100134780,CID000134780,134780,100134780
CID100135113,CID000135113,135113,100135113
CID100145068,CID000145068,145068,100145068
CID100147740,CID000147740,147740,100147740
CID100147912,CID000468595,468595,100147912
CID100148121,CID000148121,148121,100148121
CID100148127,CID003036505,3036505,100148127
CID100148191,CID006918289,6918289,100148191
CID100148191,CID024847874,24847874,100148191
CID100148192,CID000148192,148192,100148192
CID100148211,CID000148211,148211,100148211
CID100148211,CID006337614,6337614,100148211
CID100150310,CID000443872,443872,100150310
CID100150310,CID024847741,24847741,100150310
CID100150311,CID000150311,150311,100150311
CID100150610,CID000150610,150610,100150610
CID100151075,CID000151075,151075,100151075
CID100151165,CID000151165,151165,100151165
CID100151165,CID006918365,6918365,100151165
CID100151171,CID000151171,151171,100151171
CID100152945,CID000152945,152945,100152945
CID100152945,CID006918296,6918296,100152945
CID100153941,CID000153941,153941,100153941
CID100153994,CID000153994,153994,100153994
CID100154058,CID000154058,154058,100154058
CID100154256,CID000154256,154256,100154256
CID100156326,CID000163091,163091,100156326
CID100156326,CID003036780,3036780,100156326
CID100156418,CID000156418,156418,100156418
CID100157429,CID000449677,449677,100157429
CID100157688,CID000157688,157688,100157688
CID100157920,CID000157920,157920,100157920
CID100157921,CID000157921,157921,100157921
CID100158781,CID000158781,158781,100158781
CID100158786,CID000158786,158786,100158786
CID100159247,CID000159247,159247,100159247
CID100160036,CID006918193,6918193,100160036
CID100160051,CID000160051,160051,100160051
CID100160352,CID000160352,160352,100160352
CID100163296,CID000163296,163296,100163296
CID100166548,CID000166548,166548,100166548
CID100168625,CID000168625,168625,100168625
CID100168924,CID000168924,168924,100168924
CID100170361,CID000170361,170361,100170361
CID100171558,CID000171558,171558,100171558
CID100176870,CID000176870,176870,100176870
CID100179344,CID000179344,179344,100179344
CID100185457,CID000185457,185457,100185457
CID100192155,CID000192155,192155,100192155
CID100193962,CID000193962,193962,100193962
CID100197281,CID000197281,197281,100197281
CID100197281,CID006918204,6918204,100197281
CID100197712,CID000197712,197712,100197712
CID100197712,CID006918493,6918493,100197712
CID100206527,CID000206527,206527,100206527
CID100208898,CID000208898,208898,100208898
CID100208902,CID000208902,208902,100208902
CID100208908,CID000208908,208908,100208908
CID100208920,CID009960701,9960701,100208920
CID100213023,CID009578572,9578572,100213023
CID100213039,CID000213039,213039,100213039
CID100213046,CID000213046,213046,100213046
CID100214339,CID003003141,3003141,100214339
CID100216209,CID005493444,5493444,100216209
CID100216210,CID000216210,216210,100216210
CID100216235,CID000216235,216235,100216235
CID100216237,CID000216237,216237,100216237
CID100216239,CID000216239,216239,100216239
CID100216258,CID000216258,216258,100216258
CID100216326,CID000216326,216326,100216326
CID100216416,CID000216416,216416,100216416
CID100219024,CID000219024,219024,100219024
CID100219024,CID022451303,22451303,100219024
CID100219078,CID000219078,219078,100219078
CID100219084,CID000450096,450096,100219084
CID100219090,CID000219090,219090,100219090
CID100222786,CID000222786,222786,100222786
CID100315411,CID000445226,445226,100315411
CID100315411,CID000450503,450503,100315411
CID100358641,CID000358641,358641,100358641
CID100441332,CID005281075,5281075,100441332
CID100441382,CID005281099,5281099,100441382
CID100443379,CID005462501,5462501,100443379
CID100444006,CID000444006,444006,100444006
CID100444006,CID006437877,6437877,100444006
CID100444013,CID000444013,444013,100444013
CID100444033,CID006918155,6918155,100444033
CID100449193,CID000449193,449193,100449193
CID100455658,CID000455658,455658,100455658
CID100477468,CID000477468,477468,100477468
CID100477468,CID006602291,6602291,100477468
CID100483407,CID003002977,3002977,100483407
CID100489129,CID000489181,489181,100489129
CID100517045,CID000517045,517045,100517045
CID100644241,CID000644241,644241,100644241
CID100656628,CID005312125,5312125,100656628
CID100656892,CID005388906,5388906,100656892
CID100657298,CID000657298,657298,100657298
CID100667490,CID000667490,667490,100667490
CID101349907,CID001349907,1349907,101349907
CID102723601,CID002723601,2723601,102723601
CID102761171,CID002761171,2761171,102761171
CID103006171,CID006451164,6451164,103006171
CID103010818,CID003010818,3010818,103010818
CID103038497,CID003038497,3038497,103038497
CID103052762,CID003052762,3052762,103052762
CID103055172,CID006509979,6509979,103055172
CID103055172,CID024847863,24847863,103055172
CID103062316,CID003062316,3062316,103062316
CID103080904,CID003080904,3080904,103080904
CID103081276,CID056841124,56841124,103081276
CID103081361,CID003081361,3081361,103081361
CID103081362,CID045267081,45267081,103081362
CID103081884,CID003081884,3081884,103081884
CID103085017,CID003085017,3085017,103085017
CID103086257,CID003086257,3086257,103086257
CID103086685,CID006450551,6450551,103086685
CID103086686,CID005329102,5329102,103086686
CID103325225,CID005289223,5289223,103325225
CID104369359,CID004369359,4369359,104369359
CID104474778,CID005288169,5288169,104474778
CID104479094,CID005281107,5281107,104479094
CID104479097,CID005460193,5460193,104479097
CID104517618,CID004517618,4517618,104517618
CID104630253,CID005311000,5311000,104630253
CID104659568,CID005281081,5281081,104659568
CID104659569,CID004659569,4659569,104659569
CID105001396,CID005001396,5001396,105001396
CID105251896,CID006918537,6918537,105251896
CID105273759,CID005273759,5273759,105273759
CID105277135,CID005277135,5277135,105277135
CID105281007,CID005353562,5353562,105281007
CID105310993,CID005310993,5310993,105310993
CID105311167,CID005311167,5311167,105311167
CID105327147,CID005327147,5327147,105327147
CID105328940,CID005328940,5328940,105328940
CID105353894,CID005353894,5353894,105353894
CID105353980,CID005359476,5359476,105353980
CID105353980,CID005384001,5384001,105353980
CID105359596,CID005359596,5359596,105359596
CID105360237,CID005360237,5360237,105360237
CID105361912,CID006323490,6323490,105361912
CID105361917,CID005361917,5361917,105361917
CID105362070,CID005362070,5362070,105362070
CID105362420,CID005362420,5362420,105362420
CID105381226,CID005381226,5381226,105381226
CID105381226,CID005458213,5458213,105381226
CID105462337,CID005462337,5462337,105462337
CID105462337,CID006003770,6003770,105462337
CID105464096,CID005464096,5464096,105464096
CID105479141,CID011672602,11672602,105479141
CID105487068,CID005487068,5487068,105487068
CID105487301,CID005487301,5487301,105487301
CID105488383,CID006918250,6918250,105488383
CID105488547,CID005488547,5488547,105488547
CID105493381,CID005493381,5493381,105493381
CID106102852,CID009916860,9916860,106102852
CID106323497,CID006323497,6323497,106323497
CID106326970,CID006326970,6326970,106326970
CID106328144,CID006328144,6328144,106328144
CID106328526,CID006328526,6328526,106328526
CID106331630,CID053320414,53320414,106331630
CID106333887,CID006918453,6918453,106333887
CID106398970,CID006915944,6915944,106398970
CID106433082,CID006433082,6433082,106433082
CID106433091,CID009838021,9838021,106433091
CID106433101,CID009868491,9868491,106433101
CID106433117,CID006918554,6918554,106433117
CID106433119,CID009875401,9875401,106433119
CID106435110,CID006435110,6435110,106435110
CID106437075,CID006437075,6437075,106437075
CID106440191,CID010034073,10034073,106440191
CID106442177,CID006442177,6442177,106442177
CID106445540,CID006445540,6445540,106445540
CID106452749,CID006452749,6452749,106452749
CID106453361,CID006453361,6453361,106453361
CID106477186,CID006480466,6480466,106477186
CID106850789,CID006850789,6850789,106850789
CID106850791,CID006850791,6850791,106850791
CID106918182,CID006918182,6918182,106918182
CID106918313,CID006918313,6918313,106918313
CID106918366,CID006918366,6918366,106918366
CID106918430,CID012993649,12993649,106918430
CID106918456,CID006918456,6918456,106918456
CID106918462,CID045487623,45487623,106918462
CID106918558,CID006918558,6918558,106918558
CID106918584,CID006918584,6918584,106918584
CID106918638,CID006918638,6918638,106918638
CID106918670,CID006918670,6918670,106918670
CID109794842,CID010220503,10220503,109794842
CID109800339,CID011504294,11504294,109800339
CID109810131,CID009852981,9852981,109810131
CID109811221,CID009854073,9854073,109811221
CID109812414,CID025244225,25244225,109812414
CID109815559,CID009815560,9815560,109815559
CID109818231,CID009926791,9926791,109818231
CID109825285,CID009825285,9825285,109825285
CID109831414,CID009831414,9831414,109831414
CID109831761,CID009831761,9831761,109831761
CID109831783,CID009831783,9831783,109831783
CID109846180,CID025181561,25181561,109846180
CID109853053,CID009853053,9853053,109853053
CID109854489,CID009854489,9854489,109854489
CID109865528,CID009865528,9865528,109865528
CID109869929,CID009869929,9869929,109869929
CID109871419,CID009871419,9871419,109871419
CID109887712,CID009887712,9887712,109887712
CID109898619,CID009898619,9898619,109898619
CID109912092,CID011561674,11561674,109912092
CID109924495,CID009924495,9924495,109924495
CID109930048,CID009930048,9930048,109930048
CID109940864,CID009940864,9940864,109940864
CID109941444,CID070683023,70683023,109941444
CID109966051,CID009966051,9966051,109966051
CID110028615,CID010077129,10077129,110028615
CID110096344,CID010096344,10096344,110096344
CID110107393,CID015950376,15950376,110107393
CID110113978,CID010113978,10113978,110113978
CID110163178,CID010184653,10184653,110163178
CID110178705,CID010178705,10178705,110178705
CID110182969,CID010182969,10182969,110182969
CID110324367,CID010324367,10324367,110324367
CID110465263,CID011658859,11658859,110465263
CID110482134,CID010482134,10482134,110482134
CID111001318,CID011001318,11001318,111001318
CID111020241,CID011020241,11020241,111020241
CID111163584,CID011450633,11450633,111163584
CID111167602,CID011167602,11167602,111167602
CID111228026,CID011467166,11467166,111228026
CID111234049,CID011234049,11234049,111234049
CID111235728,CID011243969,11243969,111235728
CID111238823,CID011238823,11238823,111238823
CID111254352,CID011254352,11254352,111254352
